Application mode,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Admission grade,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
0.0,0.9506929102229364,1.0,0.0,0.3578947368421052,0.3452631578947367,0.0,1.0,0.0,0.0,0.0377358490566037,0.0,0.3076923076923077,0.2222222222222222,0.2307692307692307,0.7300662251655629,0.0833333333333333,0.0,0.3478260869565217,0.303030303030303,0.3,0.7419999999999999,0.0833333333333333,0.2093023255813954,0.0,0.1241743725231175
0.0,0.9861417955412732,1.0,0.0,0.4842105263157894,0.3999999999999999,0.0,1.0,0.0,0.0,0.0188679245283018,0.0,0.2307692307692307,0.1777777777777777,0.1923076923076923,0.656953642384106,0.0,0.0,0.2608695652173913,0.3636363636363636,0.25,0.5599999999999999,0.0,0.2093023255813954,0.0,0.1241743725231175
0.6785714285714285,0.9135368547901184,1.0,0.0476190476190476,0.5789473684210527,0.5789473684210527,0.0,1.0,0.0,0.0,0.320754716981132,0.05,0.1923076923076923,0.1333333333333333,0.0384615384615384,0.5827814569536424,0.0,0.0,0.217391304347826,0.1515151515151515,0.0,0.0,0.0,0.5930232558139535,1.0,0.3117569352708058
0.6785714285714285,1.0,0.0,0.0,0.368421052631579,0.263157894736842,0.0,1.0,0.0,0.0,0.1886792452830188,0.0,0.1923076923076923,0.2666666666666666,0.1923076923076923,0.5615894039735099,0.0,0.0,0.217391304347826,0.303030303030303,0.25,0.5923076923076923,0.0,0.2093023255813954,0.0,0.1241743725231175
0.7499999999999999,0.8014661578630247,0.0,0.0,0.2315789473684211,0.0526315789473683,0.0,1.0,0.0,0.0,0.1886792452830188,0.0,0.2307692307692307,0.1333333333333333,0.1538461538461538,0.6622516556291391,0.0,0.0,0.2608695652173913,0.1818181818181818,0.3,0.7717948717948717,0.0,0.7325581395348838,0.1111111111111111,0.6406869220607662
0.7499999999999999,1.0,0.0,0.8809523809523808,0.4010526315789473,0.32,0.0,1.0,1.0,0.0,0.4150943396226415,0.0,0.0769230769230769,0.1111111111111111,0.0,0.0,0.0,0.0,0.1739130434782608,0.1212121212121212,0.0,0.0,0.0,0.372093023255814,0.4888888888888888,0.7661822985468957
0.0,0.9090178750753164,1.0,0.0,0.3263157894736841,0.3894736842105262,0.0,1.0,0.0,1.0,0.0188679245283018,0.0,0.1923076923076923,0.1777777777777777,0.1153846153846153,0.7947019867549668,0.1666666666666666,0.0,0.217391304347826,0.2727272727272727,0.15,0.6282051282051281,0.0,0.2093023255813954,0.0,0.1241743725231175
0.0,0.9152440249045992,1.0,0.0,0.3157894736842104,0.411578947368421,0.0,1.0,1.0,0.0,0.0566037735849056,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0,0.217391304347826,0.0,0.0,0.0,0.0,0.1511627906976745,0.4888888888888888,1.0
0.6785714285714285,0.8014661578630247,0.0,0.0,0.4010526315789473,0.0789473684210526,0.0,1.0,0.0,1.0,0.1886792452830188,0.0,0.2307692307692307,0.3555555555555555,0.0384615384615384,0.5298013245033113,0.0,0.0,0.2608695652173913,0.3939393939393939,0.0,0.0,0.0,0.1511627906976745,0.4888888888888888,1.0
0.2857142857142857,1.0,0.0,0.0,0.263157894736842,0.2305263157894737,1.0,0.0,0.0,0.0,0.169811320754717,0.0,0.1923076923076923,0.1111111111111111,0.0,0.0,0.0,0.0,0.217391304347826,0.1818181818181818,0.0,0.0,0.0,0.372093023255814,0.4888888888888888,0.7661822985468957
0.2857142857142857,0.8014661578630247,0.0,0.0,0.2947368421052632,0.191578947368421,1.0,0.0,0.0,0.0,0.0188679245283018,0.0,0.2307692307692307,0.2,0.1153846153846153,0.565121412803532,0.0,0.0,0.2608695652173913,0.3636363636363636,0.0,0.0,0.0,0.0,0.7555555555555555,0.5785997357992074
0.7678571428571428,0.9090178750753164,1.0,0.9047619047619048,0.6842105263157894,0.6842105263157894,0.0,0.0,1.0,0.0,0.0377358490566037,0.1,0.2307692307692307,0.1333333333333333,0.2307692307692307,0.7417218543046358,0.0,0.0526315789473684,0.2608695652173913,0.3333333333333333,0.3,0.7269230769230769,0.0,0.5581395348837211,0.2888888888888888,0.7727873183619551
0.7499999999999999,1.0,0.0,0.0,0.368421052631579,0.0926315789473684,0.0,1.0,0.0,0.0,0.2075471698113207,0.7000000000000001,0.576923076923077,0.3333333333333333,0.5384615384615385,0.586565752128666,0.0,0.631578947368421,0.6086956521739131,0.4848484848484848,0.6000000000000001,0.6102564102564102,0.0833333333333333,0.2093023255813954,0.0,0.1241743725231175
0.2857142857142857,0.9259891544486843,1.0,0.0,0.1894736842105262,0.1599999999999999,0.0,1.0,1.0,0.0,0.0754716981132075,0.0,0.2307692307692307,0.2222222222222222,0.1538461538461538,0.609271523178808,0.0,0.0,0.2608695652173913,0.303030303030303,0.1,0.5653846153846154,0.0,0.2093023255813954,0.0,0.1241743725231175
